objectid_gadm2,iso_alpha3,country,name_1,name_2,population,whostandard,natstandard,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_who_2019,llpp_who_2020,llpp_who_2021,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019,llpp_nat_2020,llpp_nat_2021
17298,IND,India,Andaman and Nicobar,Nicobar Islands,35672,5,40,7.65,8.07,9.24,8.82,9.04,11.09,12.34,9.71,11.96,12.36,12.53,11.67,13.53,11.29,12.64,12.88,12.86,11.56,12.45,9.9,10.61,13.26,13.09,9.76,0.26,0.3,0.42,0.37,0.4,0.6,0.72,0.46,0.68,0.72,0.74,0.65,0.84,0.62,0.75,0.77,0.77,0.64,0.73,0.48,0.55,0.81,0.79,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17299,IND,India,Andaman and Nicobar,North and Middle Andaman,103796,5,40,16.54,16.4,17.12,17.62,19.84,19.21,20.76,19.84,21.99,20.6,21.24,22.76,22.5,21.62,22.39,22.29,26.67,21.06,21.91,18.25,20.86,21.49,22.09,19.24,1.13,1.12,1.19,1.24,1.45,1.39,1.54,1.45,1.67,1.53,1.59,1.74,1.72,1.63,1.7,1.69,2.12,1.57,1.66,1.3,1.55,1.62,1.67,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17300,IND,India,Andaman and Nicobar,South Andaman,231783,5,40,13.05,12.98,14.4,15.47,17.32,17.73,19.6,17.38,20.82,19.11,21,21.88,21.48,21.32,22.54,21.43,24.56,19.85,22.57,18.83,20.97,21.79,22.08,20.26,0.79,0.78,0.92,1.03,1.21,1.25,1.43,1.21,1.55,1.38,1.57,1.65,1.61,1.6,1.72,1.61,1.92,1.46,1.72,1.36,1.57,1.65,1.67,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17301,IND,India,Andhra Pradesh,Anantapur,4337847,5,40,18.43,18.98,18.43,21.53,23,23.91,24.99,28.95,27.4,29.48,27.86,30.33,30.66,29.1,27.59,27.77,30.41,27.82,27.69,30.55,30.21,28.02,29.79,29.85,1.32,1.37,1.32,1.62,1.76,1.85,1.96,2.35,2.2,2.4,2.24,2.48,2.51,2.36,2.21,2.23,2.49,2.24,2.22,2.5,2.47,2.26,2.43,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17302,IND,India,Andhra Pradesh,Chittoor,4430270,5,40,14.56,15.67,15.96,19.61,19.62,20.92,22.19,24.84,22.42,25.08,24.07,25.73,25.5,25.28,24.36,23.91,24.9,22.9,24.87,26.4,25.56,22.89,23.39,25.13,0.94,1.05,1.07,1.43,1.43,1.56,1.68,1.94,1.71,1.97,1.87,2.03,2.01,1.99,1.9,1.85,1.95,1.75,1.95,2.1,2.02,1.75,1.8,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17303,IND,India,Andhra Pradesh,East Godavari,5523407,5,40,15.3,18.41,20.41,20.78,21.45,22.27,24.27,25.37,28.31,29.14,31.53,31.68,28.03,30.52,29.38,29.31,34.63,29.51,30.37,32.98,31.64,30,31.6,33.82,1.01,1.31,1.51,1.55,1.61,1.69,1.89,2,2.28,2.37,2.6,2.62,2.26,2.5,2.39,2.38,2.9,2.4,2.49,2.74,2.61,2.45,2.61,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17304,IND,India,Andhra Pradesh,Guntur,5057521,5,40,16.45,18.32,20.77,22.04,22.16,22.95,23.49,26.3,27.45,29.02,29.2,31.24,29.69,30.1,28,29.08,32.88,27.87,28.3,31.25,29.76,29.43,30.8,33.33,1.12,1.31,1.55,1.67,1.68,1.76,1.81,2.09,2.2,2.35,2.37,2.57,2.42,2.46,2.25,2.36,2.73,2.24,2.28,2.57,2.43,2.39,2.53,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17305,IND,India,Andhra Pradesh,Krishna,4747791,5,40,16.55,18.4,20.44,21.37,21.79,22.88,23.55,25.83,27.85,29.15,29.94,31.24,29.28,30.64,28.03,29.19,33.94,28.63,28.93,31.44,30.58,29.42,31.58,34.57,1.13,1.31,1.51,1.6,1.65,1.75,1.82,2.04,2.24,2.37,2.44,2.57,2.38,2.51,2.26,2.37,2.84,2.32,2.35,2.59,2.51,2.39,2.6,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17306,IND,India,Andhra Pradesh,Kurnool,4284262,5,40,17.47,19.69,19.62,22.15,23.25,23.44,23.04,27.07,27.73,28.65,27.44,29.88,30.47,28.77,26.34,26.86,30.49,26.85,27.42,29.63,29.55,27.55,28.95,30.46,1.22,1.44,1.43,1.68,1.79,1.81,1.77,2.16,2.23,2.32,2.2,2.44,2.5,2.33,2.09,2.14,2.5,2.14,2.2,2.41,2.41,2.21,2.35,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17307,IND,India,Andhra Pradesh,Nellore,3166501,5,40,17.46,19.91,20.01,21.28,20.2,21.22,22.12,25.86,23.43,26.49,25.51,27.1,25.63,24.75,23.98,25.12,27.23,23.27,26.39,28.23,26.98,25.67,24.99,27.1,1.22,1.46,1.47,1.6,1.49,1.59,1.68,2.04,1.81,2.11,2.01,2.17,2.02,1.94,1.86,1.97,2.18,1.79,2.1,2.28,2.15,2.03,1.96,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
